50,Bangkok Must do - but get off the beaten path and explore,"Extraordinary, vital, chaotic.  It is sensory overload, shopping and food..the food!! everywhere delicious.  So many people, motorcycles and vendors give this area a vitality that is unmatched.  We were lucky and had guide through Chinatown who took us off the usual",January,2020,Apr,6,"London, Canada",135
50,One of the best Chinatown!,"Bangkok Chinatown is very easy to get around, getting there by underground, - Wat Mangkorn station. The station is nicely decorated in the Chinese theme. Wat Mangkorn is highly recommended to visit. It's a great idea to try local street food there, too many to choose:-)",August,2019,Mar,2020,"Perth, Australia","1,182"
40,"Food, food and food",I visited so many times here. Food stalls were very little this time cause of COVID-19.  Aimed at shark fins and swallow nest again which were delicious.  Grilled prawns were great too with bottles of Chang beer😋.  You might visit Mega plaza right away or hired a grab taxi to,March,2020,Mar,2020,"Hong Kong, China",201
40,Walking pleasure,"Catch a BTS to Saphan Taksin station, come down to street level, turn away from the river and walk to main street, Charoen Krung rd.  Turn left and just walk, and walk and walk. A little way down the road you will come to Chinatown however there is so much to see on the way.  Go",November,2019,Mar,2020,"Newport, Australia",14
50,Great Street food,"Chinatown, is an important landmark for street food lovers, We enjoyed some street food as dinner before you took a taxi to our hotel, which was very close as mentioned earlier. This place is famous for it's authentic Thai food.",August,2019,Mar,2020,"Phitsanulok, Thailand",944
40,Nice,"Good food and entertainment... tourism a little down due to Corona Virus but I pretty think it's the same everywhere in the world. Great variety of foods, worth a trip there by can or Tuk Tuk.",February,2020,Mar,2020,"Burleigh Heads, Australia",95
40,A good one...,"In some cities, the area doesn't quite live up to what you might expect - here, it does. Wonderful to see and stay in. Our hotel had a rooftop swimming pool and it was lovely to look down upon all of the goings on. Well worth a visit.",March,2020,Mar,2020,"Kuala Lumpur, Malaysia","8,490"
50,Amazing,"We went to Chinatown in a Sunday afternoon and we came back at night for dinner, a nice place, full of coloour, light and flavour, Nice restaurants and places to buy street food, I hardly recomend it once you are in Bangkok!",March,2020,Mar,2020,"Bage, RS",381
40,Shopping ,"Wandered around Chinatown for a few hours in downtown Bangkok this morning. I have never seen anything like this, with all the merchants crowded into miles of alleyways. With motor bikes constantly delivering goods too the stalls. But it all works somehow amongst all the chaos.",March,2020,Mar,2020,"Elizabethtown, Pennsylvania",198
50,Absolute craziness!,"It’s a have to see it to believe it kind of place. Some tasty street foods, and lots of stalls to browse. It’s a bit crazy but the food kind!!",March,2020,Mar,2020,"Dalhousie, Canada",337
40,Be prepared for that typical odor to slap your face,"Even if you don't want to eat or shop, this is show room  for exotic flavors and interesting things to see. Me and my mom went for the famous soup place for dinner. Strongly recommended to visit the quarter if you are already in Bangkok.",November,2019,Feb,2020,"Brno, Czech Republic","3,152"
40,Typical Chinatown,We visited Chinatown around 4pm in the afternoon.  Sampled some yummy food.  I would think it would be better to visit in the evening when more stores opened up.  No complaints and great to wander around and appreciate other cultures.,February,2020,Feb,2020,"Perth, Australia",532
50,"Nice crowd, more for eating than shopping",Lots of authentic thai food (yes thai food) can be found here!! The best and cheap thai food can be found im Chinatown in my opinion! Lots of 7/11 convenient store but be sure to bring your own wet wipes if you are having a meal here. Not the cleanest of places.,January,2020,Feb,2020,"Singapore, Singapore",244
40,A Shopping Maze,"Chinatown is a vibrant shopping maze for woman’s jewelry, shoes, Sandler, slippers, pocketbooks and cheap clothes.  However, its store after store of very similar stuff.  It’s a great experience not to be missed.",February,2020,Feb,2020,"Fort Lauderdale, Florida",367
30,Over crowded with China tourists ,Chinatown Bangkok is teeming with tourists from China. Over packed and people jam. Queues in front of publicized food outlets. Losing part of its quaint charm due to too many tourists. Not advisable for young kids  as traffic is also very heavy. ,February,2020,Feb,2020,"Kulaijaya District, Malaysia",425
50,"Sight, Smell and Sound!","I visited the Chinatown in the evening, once you reach the street... the sight, smell and sound hits you like a train! The many delicious looking food coupled with the wonderful aroma and the sizzling sound of food being cooked really makes my tummy rumble!  There are so many",February,2020,Feb,2020,"Singapore, Singapore",266
40,A bit too exotic for moi,Tons of strange looking plants animals and other stuff too unusual looking for me to consider ingesting. I dint stay long. Quickly overwhelmed by the sights and sounds.,January,2020,Feb,2020,"Fairfax, Virginia",794
40,Great exhibition this month,We strolled along the side street of Chinatown following the exhibition signs.  It’s a fantasying area with fabulous wall art and cafes in the strangest of places.  Search around for them as they are treasures to find.  The main streets are busy and crazy with traffic but it’s a,February,2020,Feb,2020,"Ringwood, United Kingdom",655
40,Crazy and food!,"At night they close part of the main street and there is food everywhere. It is amazing. There is so much food and desserts. I don't know what it is like during the day, but at night you will not be disappointed. ",February,2020,Feb,2020,"Louisville, Kentucky",401
50,No picture can describe ,"This is the most amazing China town ever, only being there can you understand... the crowds, the smells, the food, the overall insane crowds of people... must see! Just be careful with your belongings and don't wear nice shoes as they might get very dirty... 😄",February,2020,Feb,2020,The Netherlands,40
50,Shopping,Very busy. Lots of stalls and food. If you are staying in central Bangkok can combine with a visit to grand palace as it is on the way. ,March,2019,Feb,2020,"Manchester, United Kingdom",51
40,Fun for chines new year,"I came here during the Chines new year celebrations this time. A princess visited the area so there was too much road blocks and police. Other than that is was so great to see the costumes, dragons, and all the food stalls. I want to come back if I am here for this celebration",January,2020,Feb,2020,"Tonsberg, Norway",447
50,A Major Attraction ,"This is a very amazing Chinatown absolutely the largest I’ve ever seen and the most unique. Far more impressive than the Chinatowns in New York, San Francisco, or Vancouver BC.  The main thoroughfares were fairly typical but what I found to be unique were the many, many",Feb,2020,Feb,2020,"Portland, Oregon","1,868"
50,Night market fun,Chinatown is all a bustle on every night of the week except Monday when they clean the streets. We were really impressed with the variety of offerings. Several had earned listings in the Michelin Guide to Bangkok.  It was a feast for the senses but especially for the tummy!,January,2020,Feb,2020,"Calgary, Canada",229
50,Great atmosphere ,Took a taxi from our hotel and went to china town. What an amazing atmosphere with all the street vendors and restaurants so busy with so many people. A “must visit” place to go.,February,2020,Feb,2020,"Kendal, United Kingdom",53
40,Overly crowded during the festive season,Overly crowded during the festive season but it’s worth the visit to experience the streets and food. ,February,2020,Jan,2020,"Singapore, Singapore",204
40,Don’t miss out on their foot massage,"After a long day of walking there is nothing better than spoiling yourself with chinese street snacks or a proper dinner and for sure a super relaxing foot massage. Pick any, they are all amazing",May,2019,Jan,2020,"Dubai, United Arab Emirates",67
40,Perfect for a street walk,Really entertaining colourefull part of Bangkok full of markets and restaurants . Very enjoyaenjoyable walk in the chinese district of Bangkok.,January,2020,Jan,2020,16 contributions,5
50,China town ,The ambiance is incredible as the food ! An other world ! You can find everything you want I recommend ! ,January,2020,Jan,2020,"Bordeaux, France",4
40,"Really cool, variety and fun","This was well worth visiting. The shops had many types of  Chinese delicacies and foods. The streets were decorated accordingly and the shops offered overall variety. We found the taro powder here, to be able to make our own taro milk, which is great!  Worth a visit.",January,2020,Jan,2020,54 contributions,19
